34 Sit Up, abdominals, beginner,8.7, body-only 
Ab Crunch Machine, abdominals, intermediate,8.1, machine 
Ab Roller, abdominals, intermediate,9.0, other 
Advanced Kettlebell Windmill, abdominals, intermediate,8.5, kettlebells 
Air Bike, abdominals, beginner,8.8, body-only 
Alternate Heel Touchers, abdominals, beginner,8.1, body-only 
Barbell Ab Rollout, abdominals, intermediate,9.1, barbell 
Barbell Ab Rollout On Knees, abdominals, expert,8.7, barbell 
Barbell Rollout from Bench, abdominals, intermediate,8.1, barbell 
Barbell Side Bend, abdominals, beginner,7.0, barbell 
Bent Press, abdominals, expert,6.3, kettlebells 
Bent Knee Hip Raise, abdominals, beginner,8.0, body-only 
Bosu Ball Cable Crunch With Side Bends, abdominals, beginner,8.6, cable 
Bosu Ball Crunch, abdominals, beginner,0, exercise-ball 
Bottoms Up, abdominals, beginner,9.3, body-only 
Butt Ups, abdominals, beginner,8.3, body-only 
Cable Crunch, abdominals, beginner,8.8, cable 
Cable Judo Flip, abdominals, beginner,5.0, cable 
Cable Reverse Crunch, abdominals, beginner,8.2, cable 
Cable Russian Twists, abdominals, beginner,8.1, cable 
Cable Seated Crunch, abdominals, beginner,7.6, cable 
Cable Tuck Reverse Crunch, abdominals, beginner,0, - 
Cocoons, abdominals, beginner,9.0, body-only 
Cross Crunch, abdominals, beginner,0, body-only 
Cross Body Crunch, abdominals, beginner,9.1, body-only 
Crunch Hands Overhead, abdominals, beginner,8.5, body-only 
Crunch Legs On Exercise Ball, abdominals, beginner,7.3, body-only 
Crunches, abdominals, beginner,8.6, body-only 
Dead Bug, abdominals, beginner,8.6, body-only 
Decline Crunch, abdominals, intermediate,9.0, body-only 
Decline Oblique Crunch, abdominals, beginner,8.4, body-only 
Decline Reverse Crunch, abdominals, beginner,9.1, body-only 
Double Kettlebell Windmill, abdominals, intermediate,3.0, kettlebells 
Dumbbell Side Bend, abdominals, beginner,8.6, dumbbell 
Elbow to Knee, abdominals, beginner,9.1, body-only 
